,name,latitude,longitude,free_bikes
129,Prince Edward & 16th,49.256694,-123.096579,3
130,Prince Edward & 14th,49.258352,-123.096337,2
131,13th & St George,49.258817,-123.092797,1
132,10th & Fraser,49.26151,-123.089413,13
133,8th & Fraser,49.263382,-123.088837,12
134,St Catherines & 10th,49.261353,-123.085333,12
135,St Catherines & 7th,49.264466,-123.085183,6
136,Pender & Victoria,49.280197,-123.065859,3
137,Victoria & 4th,49.266725,-123.065925,3
138,Victoria & 10th,49.261188,-123.066009,7
139,15th & Victoria (Trout Lake),49.256857,-123.065646,4
140,Triumph & Victoria,49.283986,-123.065264,6
141,Windsor & 14th,49.257985,-123.083366,7
142,14th & Fraser,49.257939,-123.089531,4
143,15th & Knight,49.256496,-123.075426,5
144,Commercial & Pandora,49.283236,-123.070443,9
145,Carolina & Great Northern Way,49.267266,-123.090786,11
146,6th & Prince Edward,49.265242,-123.095577,4
147,6th & Carolina,49.265213,-123.090785,4
148,Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,17
149,Union & Dunlevy,49.277595,-123.09583,15
150,Keefer & Hawks,49.279235,-123.087528,13
151,Hawks & Union,49.277333,-123.087359,11
152,Charles & Commercial,49.273103,-123.069892,12
153,10th & Kingsway,49.261973,-123.09725,1
154,Beach & Hornby,49.275295,-123.132585,17
155,Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,14
156,Bute & Barclay,49.284893,-123.128685,8
157,8th & Yukon,49.263962,-123.112621,10
158,Princess & Union,49.277615,-123.091654,11
159,Dunsmuir & Richards,49.282214,-123.114101,3
160,5th & Main,49.266456,-123.100324,1
161,3rd & Quebec,49.268216,-123.103168,9
162,Richards & Cordova,49.284554,-123.111031,10
163,Richards & Robson,49.280216,-123.117639,11
164,Olympic Village Station,49.266314,-123.116011,9
165,Campbell & Hastings,49.280852,-123.084746,12
166,Cardero & Davie,49.285512,-123.1384,16
167,Aquatic Centre,49.27821,-123.136972,20
168,Beach & Broughton,49.281301,-123.139108,16
169,Beach & Cardero,49.283298,-123.142288,13
170,Georgia & Homer,49.280787,-123.115271,9
171,Columbia & 5th,49.266476,-123.109389,9
172,Haro & Denman,49.290587,-123.13625,7
173,Arbutus & 10th,49.262835,-123.152626,5
174,Ontario & 16th,49.256825,-123.105234,6
175,Richards & Davie,49.275683,-123.124388,0
176,8th & Prince Edward,49.263518,-123.09568,10
177,Jervis & Robson,49.28691,-123.128818,17
178,Smithe & Burrard,49.282503,-123.124697,3
179,Broughton & Davie,49.283749,-123.136133,20
180,Cypress & 10th,49.262944,-123.148109,5
181,Granville Island,49.27029,-123.135025,18
182,McLean & Pender,49.280427,-123.074082,5
183,Richards & Smithe,49.279259,-123.119145,1
184,Bute & Robson,49.285836,-123.127265,9
185,Trafalgar & Cornwall,49.272969,-123.164325,9
186,Alma & Point Grey,49.27247,-123.185643,11
187,Point Grey & Blenheim,49.271471,-123.17731,12
188,Hastings & Broughton,49.290112,-123.127062,15
189,Yew & Broadway,49.263523,-123.155267,11
190,8th & Macdonald,49.264928,-123.168068,10
191,Balaclava & Broadway,49.264483,-123.173926,16
192,Dunbar & Broadway,49.264579,-123.18373,15
193,Grandview & Commercial,49.263746,-123.069892,3
