fsq_restaurant_number,Fsq_avg_distance,Fsq_avg_price,Fsq_avg_rating,Yelp_avg_distance,Yelp_avg_rating,free_bikes
10,340.8,1.7,8.11,114.11658048550176,5.25,9
10,127.9,2.4,8.46,72.5057042911567,6.45,4
10,293.4,2.111111111111111,8.790000000000001,135.50184644993925,6.25,10
10,386.4,1.6,8.17,166.84928678300437,6.55,6
10,295.3,1.875,7.833333333333333,132.46539819936618,7.35,12
10,494.1,2.25,8.209999999999999,442.537122249311,6.3,1
10,525.0,1.7777777777777777,7.979999999999999,390.6106657851317,5.0,5
10,353.8,1.5555555555555556,8.26,244.59760478174385,6.5,15
10,281.4,1.4444444444444444,8.222222222222221,105.13233154162526,6.45,8
10,206.7,2.6666666666666665,8.32,63.19698539336434,5.55,0
10,198.5,1.8,8.2,72.53690558456051,5.9,4
10,264.6,2.4,8.45,215.60863693574888,7.0,12
10,169.6,2.6666666666666665,8.16,75.20395744960304,6.95,3
10,201.2,1.6,8.25,69.1629193696613,6.5,16
10,166.1,2.0,8.41,72.0046260969589,5.95,4
10,276.3,2.0,8.51,129.06802418715486,6.6,6
10,243.3,2.4444444444444446,8.59,185.38892390905067,7.75,2
10,180.6,1.8,8.61,101.05797898675164,6.7,19
10,133.0,1.875,7.659999999999999,67.92206842896586,7.35,12
10,335.4,1.8,8.42,161.4098781458405,7.25,6
10,206.2,2.4,8.35,79.83586116460631,7.1,5
10,238.9,1.8,8.25,99.88352073358678,5.0,1
10,352.2,2.0,8.26,265.9297749192087,7.1,6
10,359.0,2.0,7.75,302.541505507238,6.7,8
10,368.9,1.5,8.4,323.2527960855902,6.1,12
10,296.8,1.5555555555555556,8.05,219.04073243712983,5.05,11
10,243.5,2.0,8.84,92.9506024958666,7.6,10
10,336.1,1.7,8.78,66.25677190510531,6.8,6
10,435.7,1.6,8.379999999999999,212.7868090271887,6.35,0
10,207.6,1.5,8.27,100.17556900225988,7.1,12
10,394.5,2.375,8.51,305.3504190004363,6.95,15
10,358.0,1.8888888888888888,7.77,195.03133163069933,6.45,15
10,192.2,2.333333333333333,8.190000000000001,71.400262260365,6.55,6
10,293.0,2.25,8.51,178.2327401475497,6.8,5
10,396.4,1.875,8.244444444444445,147.95557362675157,6.35,13
10,264.9,1.8,8.14,157.6798174394277,7.3,28
10,256.4,2.0,7.81,162.0584876188621,6.75,8
10,200.2,2.0,7.76,132.1451094363155,6.05,1
10,238.8,1.6666666666666667,7.790000000000001,338.0841811391156,6.7,5
10,313.1,1.7,8.120000000000001,133.22043900948802,6.95,1
10,223.9,1.2,8.05,231.573333388522,7.45,10
10,345.1,1.5,8.02,118.39438830268872,6.4,2
10,191.0,1.6666666666666667,8.48,82.45243912432493,7.3,9
10,624.1,1.625,8.42,537.8475270259939,6.85,8
10,165.3,2.4,8.7,87.77115797324791,7.6,0
10,210.9,2.0,8.7,156.2431131109203,6.65,4
10,375.7,2.142857142857143,7.790000000000001,195.4502636281736,6.15,12
10,277.6,1.625,7.970000000000001,213.64822879823868,6.1,12
10,320.2,1.875,7.909999999999999,301.6796496021917,6.6,9
10,307.8,2.0,8.05,285.3084591786448,7.1,16
10,229.8,1.7,8.48,140.17223015190754,6.7,15
10,235.6,1.8,8.42,144.39687623871433,8.2,18
10,198.2,2.6666666666666665,8.110000000000001,53.56117088666917,5.65,12
10,739.2,2.0,8.044444444444444,735.4869763392446,6.7,2
2,881.0,2.0,8.7,960.0112421397088,6.7,8
10,914.2,1.875,7.659999999999999,827.5975024760552,6.65,9
6,858.1666666666666,2.4,7.82,967.8244657929538,6.85,8
10,349.5,1.375,7.725,318.8909031066865,5.95,10
10,288.9,1.5,7.95,225.874906955964,7.5,5
10,317.6,1.5,8.6,180.23985260873428,6.1,26
10,328.0,1.9,8.22,271.1704919163139,7.2,4
10,251.1,1.9,8.360000000000001,196.1314782416376,7.25,2
10,520.6,1.8571428571428568,7.911111111111111,159.3167550647015,6.35,3
10,738.3,1.7777777777777777,6.971428571428571,644.8758195836692,7.5,1
10,633.7,1.75,7.459999999999999,519.2169366761088,6.8,5
10,727.6,1.625,7.35,678.9799748604579,6.8,4
10,189.5,1.8888888888888888,8.26,92.4434050438177,5.45,5
10,166.3,1.7777777777777777,8.09,75.3015742767773,6.05,13
10,390.9,1.5555555555555556,8.155555555555557,343.7018747909316,6.55,5
